u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
3010,1,0,8192,128,0,2601.83,3600,Killed
3011,1,0,8192,128,0,2712.18,3600,Killed
3012,13,0,16384,256,360,16916.86,21600,Killed
3013,13,0,16384,256,21,10955.47,21600,Failed
3014,13,0,16384,256,16,16669.27,21600,Killed
3015,13,0,16384,256,7,16593.46,21600,Killed
3016,13,0,16384,256,13,15438.16,21600,Killed
3017,13,0,16384,256,7,13447.9,21600,Killed
3018,13,0,8192,128,53,10866.91,10800,Killed
3019,1,0,16384,256,739,2548.3,3600,Pass
3020,1,0,16384,256,704,2414.59,2400,Pass
3021,1,0,16384,256,556,20765.87,21600,Pass
3022,1,0,512,8,1257,3654.16,3600,Killed
3023,1,0,8192,128,14,6715.59,7200,Pass
3024,32,0,192,3,643,57.1,3600,Failed
3025,32,0,192,3,360,1963.67,3600,Killed
3026,18,0,64,1,725,74.54,600,Pass
3027,1,0,512,8,1555,138.98,3600,Failed
3028,32,0,192,3,37,903.31,3600,Pass
3029,34,0,64,1,1279,42.13,600,Pass
3030,32,0,40960,640,810,8239.72,43200,Killed
3031,1,0,512,8,250,55.92,3600,Killed
3032,27,0,512,8,15,56.25,1800,Failed
3033,27,0,512,8,290,1846.64,1800,Killed
3034,1,0,512,8,2,57.06,3600,Killed
3035,1,0,512,8,289,2961.29,3600,Pass
3036,1,0,512,8,94,141.68,3600,Failed
3037,1,0,16384,256,639,3248.49,7200,Pass
3038,1,0,32768,512,709,12263.16,21600,Pass
3039,1,0,512,8,189,3640.06,3600,Killed
3040,1,0,512,8,58,156.03,3600,Failed
3041,34,0,64,1,140,56.56,600,Failed
3042,1,0,8192,128,98,61.07,1800,Failed
3043,1,0,512,8,425,115.23,3600,Failed
3044,35,0,64,1,59,3043.54,3600,Pass
