u_id,user,gpu_num,cpu_num,node_num,interval,run_time,wall_time,new_status
8893,21,1,1,1,0,2314,0,Pass
8892,21,1,1,1,0,2324,0,Pass
8891,21,1,1,1,0,2322,0,Pass
8898,21,1,1,1,0,2315,0,Pass
8921,21,1,1,1,18,2278,0,Pass
8920,21,1,1,1,0,2273,0,Pass
8919,21,1,1,1,0,2284,0,Pass
8918,21,1,1,1,0,2271,0,Pass
8917,21,1,1,1,0,2265,0,Pass
8916,21,1,1,1,0,2264,0,Pass
8915,21,1,1,1,0,2258,0,Pass
8911,21,1,1,1,0,2300,0,Pass
8913,21,1,1,1,0,2307,0,Pass
8912,21,1,1,1,0,2297,0,Pass
8910,21,1,1,1,0,2297,0,Pass
8909,21,1,1,1,0,2303,0,Pass
8908,21,1,1,1,0,2297,0,Pass
8907,21,1,1,1,0,2300,0,Pass
8922,21,1,1,1,0,2257,0,Pass
8914,21,1,1,1,0,2301,0,Pass
8923,39,1,1,1,496,2711,0,Pass
8924,20,32,32,4,328,6,0,Killed
8925,20,4,1,1,6,2,0,Killed
8926,20,80,400,10,8,293,0,Killed
8927,20,4,1,1,293,64,0,Pass
8928,20,72,360,9,10,20,0,Killed
8929,40,32,32,4,19,43749,0,Killed
8930,18,2,1,1,4,165,0,Failed
8931,20,40,200,5,7,25,0,Killed
8932,20,4,1,1,26,57,0,Pass
8933,20,120,600,15,5,10,0,Killed
8934,20,80,400,10,6,43668,0,Killed
8935,20,40,200,5,14,1388,0,Killed
8936,20,8,1,1,34,32,0,Pass
8937,20,8,1,1,33,158,0,Pass
8938,20,8,1,1,159,664,0,Pass
8939,18,2,1,1,498,365759,0,Killed
8940,20,8,8,1,168,40,0,Pass
8941,20,8,8,1,40,445,0,Pass
8942,21,0,1,1,102,95,0,Pass
8943,21,0,1,1,51,62,0,Pass
8944,21,0,1,1,15,75,0,Pass
8945,85,1,1,1,19,165,0,Pass
8946,89,8,16,1,82,38644,0,Pass
8947,20,4,1,1,176,11,0,Pass
8948,20,8,8,1,12,64,0,Pass
8949,20,40,200,5,4,96,0,Killed
8950,20,8,8,1,60,32,0,Killed
8951,20,8,8,1,35,39,0,Killed
8952,20,40,200,5,11,20,0,Killed
8953,20,24,24,3,16,40,0,Pass
8954,20,16,80,2,14,5,0,Killed
8955,20,24,120,3,10,470,0,Killed
8956,20,24,24,3,21,446,0,Pass
8957,63,0,1,1,162,8993,0,Pass
8958,63,0,1,1,8,206,0,Pass
8959,45,1,1,1,48,28216,0,Pass
8960,39,1,1,1,34,11376,0,Pass
8961,39,1,1,1,12,10545,0,Pass
8962,39,1,1,1,11,8028,0,Pass
8963,39,1,1,1,15,10279,0,Pass
8964,39,1,1,1,16,14279,0,Pass
8965,39,1,1,1,15,16137,0,Pass
8966,39,1,1,1,8,17404,0,Pass
8967,85,1,1,1,28,150,0,Pass
